Lp,Nr_egzeplarza,Nr_pomiaru,Szerokosc_spodu,Długosc_szkrzydła,Czas_lotu
1,1,1,15,27,1.37
2,1,2,15,27,1.2
3,1,3,15,27,1.35
4,1,4,15,27,1.23
5,1,5,15,27,1.31
6,2,1,15,27,1.47
7,2,2,15,27,1.32
8,2,3,15,27,1.24
9,2,4,15,27,1.62
10,2,5,15,27,1.33
11,3,1,15,39,1.93
12,3,2,15,39,2.01
13,3,3,15,39,1.69
14,3,4,15,39,1.46
15,3,5,15,39,1.67
16,4,1,15,39,1.76
17,4,2,15,39,1.69
18,4,3,15,39,1.78
19,4,4,15,39,1.88
20,4,5,15,39,1.93
21,5,1,15,50,2.42
22,5,2,15,50,2.4
23,5,3,15,50,2.4
24,5,4,15,50,2.42
25,5,5,15,50,2.33
26,6,1,15,50,2.27
27,6,2,15,50,2.14
28,6,3,15,50,2.26
29,6,4,15,50,2.14
30,6,5,15,50,1.99
31,7,1,22,27,1.58
32,7,2,22,27,1.53
33,7,3,22,27,1.52
34,7,4,22,27,1.65
35,7,5,22,27,1.56
36,8,1,22,27,1.38
37,8,2,22,27,1.51
38,8,3,22,27,1.49
39,8,4,22,27,1.67
40,8,5,22,27,1.53
41,9,1,22,39,1.6
42,9,2,22,39,1.88
43,9,3,22,39,1.9
44,9,4,22,39,1.87
45,9,5,22,39,1.56
46,10,1,22,39,1.78
47,10,2,22,39,1.84
48,10,3,22,39,1.88
49,10,4,22,39,1.78
50,10,5,22,39,1.96
51,11,1,22,50,1.87
52,11,2,22,50,1.84
53,11,3,22,50,2.08
54,11,4,22,50,2.02
55,11,5,22,50,1.91
56,12,1,22,50,1.92
57,12,2,22,50,1.82
58,12,3,22,50,1.91
59,12,4,22,50,1.71
60,12,5,22,50,2.02
61,13,1,28,27,2.02
62,13,2,28,27,1.66
63,13,3,28,27,1.54
64,13,4,28,27,1.78
65,13,5,28,27,1.83
66,14,1,28,27,1.45
67,14,2,28,27,2
68,14,3,28,27,1.91
69,14,4,28,27,1.66
70,14,5,28,27,1.72
71,15,1,28,39,1.7
72,15,2,28,39,2.14
73,15,3,28,39,1.91
74,15,4,28,39,2
75,15,5,28,39,1.96
76,16,1,28,39,1.71
77,16,2,28,39,1.69
78,16,3,28,39,2.04
79,16,4,28,39,2.09
80,16,5,28,39,1.86
81,17,1,28,50,1.78
82,17,2,28,50,1.69
83,17,3,28,50,1.77
84,17,4,28,50,1.92
85,17,5,28,50,2.11
86,18,1,28,50,2.27
87,18,2,28,50,1.73
88,18,3,28,50,2.04
89,18,4,28,50,2
90,18,5,28,50,2.07
